number,value,datetime_start,datetime_complete,duration,params_average_time_transformation_random_rate,params_default_glucose_consumption_tumor_cell,params_maximum_necrosis_lack_of_glucose_rate,state
0,14005.6027,2026-08-07 00:30:58.521908,2026-08-07 01:30:54.172923,0 days 00:59:55.651015,62.0,0.145,0.000101,COMPLETE
1,14398.0878,2026-08-07 01:30:54.207381,2026-08-07 02:31:54.182012,0 days 01:00:59.974631,65.5,0.132,8.800000000000001e-05,COMPLETE
2,11851.6241,2026-08-07 02:31:54.206296,2026-08-07 03:36:33.793909,0 days 01:04:39.587613,56.5,0.14300000000000002,9.800000000000001e-05,COMPLETE
3,14444.4113,2026-08-07 03:36:33.819260,2026-08-07 04:37:37.648418,0 days 01:01:03.829158,67.5,0.13,0.000106,COMPLETE
4,14387.4502,2026-08-07 04:37:37.672136,2026-08-07 05:38:41.409138,0 days 01:01:03.737002,69.5,0.133,8.900000000000001e-05,COMPLETE
5,12696.5857,2026-08-07 05:38:41.434254,2026-08-07 06:43:17.856587,0 days 01:04:36.422333,59.0,0.134,9.6e-05,COMPLETE
6,13568.3429,2026-08-07 06:43:17.880320,2026-08-07 07:46:34.117324,0 days 01:03:16.237004,63.0,0.134,9.800000000000001e-05,COMPLETE
7,11907.26,2026-08-07 07:46:34.146246,2026-08-07 08:52:10.453167,0 days 01:05:36.306921,58.0,0.134,9.300000000000001e-05,COMPLETE
8,14140.1395,2026-08-07 08:52:10.478447,2026-08-07 09:53:45.122044,0 days 01:01:34.643597,63.5,0.14200000000000002,8.900000000000001e-05,COMPLETE
9,13545.2939,2026-08-07 09:53:45.146057,2026-08-07 10:56:28.710454,0 days 01:02:43.564397,64.0,0.139,8.6e-05,COMPLETE
10,,2026-08-07 10:56:28.736030,,,71.5,0.138,0.000106,RUNNING
