total_days,total_hours,total_minutes,tumor_radius,num_cells,num_tumor_cells,tumor_cells_type1,tumor_cells_type2,tumor_cells_type3,tumor_cells_type4,tumor_cells_type5_dead,num_alive_cart,num_dead_cart,average_oncoprotein,average_oxygen_cancer_cells,average_oxygen_all_cells,average_glucose_cancer_cells,average_glucose_all_cells
0,0,0,2999.96,28000,28000,0,27998,0,0,2,0,0,1,0,0,24.98,24.98
0.0416667,1,60,2999.96,28000,28000,0,27988,0,0,12,0,0,1,39.227,39.227,24.171,24.171
0.0833333,2,120,2999.96,28000,28000,0,27985,0,0,15,0,0,1,39.231,39.231,23.4192,23.4192
0.125,3,180,2999.96,28000,28000,0,27978,0,0,22,0,0,1,39.2356,39.2356,22.704,22.704
0.166667,4,240,2999.96,28000,28000,0,27968,0,0,32,0,0,1,39.2464,39.2464,22.0186,22.0186
0.208333,5,300,2999.96,28000,28000,0,27953,0,0,47,0,0,1,39.2598,39.2598,21.3587,21.3587
0.25,6,360,2999.96,28000,28000,0,27945,0,0,55,0,0,1,39.2678,39.2678,20.7218,20.7218
0.291667,7,420,2999.96,28000,28000,0,27935,0,0,65,0,0,1,39.2772,39.2772,20.1057,20.1057
0.333333,8,480,2999.96,28000,28000,0,27922,0,0,78,0,0,1,39.2866,39.2866,19.5092,19.5092
0.375,9,540,2999.96,28000,28000,0,27918,0,0,82,0,0,1,39.2935,39.2935,18.9313,18.9313
0.416667,10,600,2999.96,28000,28000,0,27911,0,0,89,0,0,1,39.2978,39.2978,18.3709,18.3709
0.458333,11,660,2999.96,28000,28000,0,27907,0,0,93,0,0,1,39.3004,39.3004,17.8275,17.8275
0.5,12,720,2999.96,28000,28000,0,27895,0,0,105,0,0,1,39.3094,39.3094,17.3004,17.3004
0.541667,13,780,2999.96,28000,28000,0,27889,0,0,111,0,0,1,39.3149,39.3149,16.789,16.789
0.583333,14,840,2999.96,28000,28000,0,27880,0,0,120,0,0,1,39.3242,39.3242,16.2929,16.2929
0.625,15,900,2999.96,28000,28000,0,27874,0,0,126,0,0,1,39.3295,39.3295,15.8115,15.8115
0.666667,16,960,2999.96,28000,28000,0,27868,0,0,132,0,0,1,39.3339,39.3339,15.3444,15.3444
0.708333,17,1020,2999.96,28000,28000,0,27863,0,0,137,0,0,1,39.3398,39.3398,14.8911,14.8911
0.75,18,1080,2999.96,28000,28000,0,27854,0,0,146,0,0,1,39.3466,39.3466,14.4513,14.4513
0.791667,19,1140,2999.96,28000,28000,0,27839,0,0,161,0,0,1,39.3586,39.3586,14.0246,14.0246
0.833333,20,1200,2999.96,28000,28000,0,27828,0,0,172,0,0,1,39.3708,39.3708,13.6105,13.6105
0.875,21,1260,2999.96,28000,28000,0,27823,0,0,177,0,0,1,39.3773,39.3773,13.2086,13.2086
0.916667,22,1320,2999.96,28000,28000,0,27817,0,0,183,0,0,1,39.382,39.382,12.8188,12.8188
0.958333,23,1380,2999.96,28000,28000,0,27807,0,0,193,0,0,1,39.3925,39.3925,12.4404,12.4404
1,24,1440,2999.96,28000,28000,0,27802,0,0,198,0,0,1,39.3962,39.3962,12.0732,12.0732
1.04167,25,1500,2999.96,28000,28000,0,27790,0,0,210,0,0,1,39.4071,39.4071,11.7169,11.7169
1.08333,26,1560,2999.96,28000,28000,0,27772,0,0,228,0,0,1,39.4248,39.4248,11.3711,11.3711
1.125,27,1620,2999.96,28000,28000,0,27767,0,0,233,0,0,1,39.429,39.429,11.0356,11.0356
1.16667,28,1680,2999.96,28000,28000,0,27750,0,0,250,0,0,1,39.447,39.447,10.7101,10.7101
1.20833,29,1740,2999.96,28000,28000,0,27741,0,0,259,0,0,1,39.4542,39.4542,10.3942,10.3942
1.25,30,1800,2999.96,28000,28000,0,27732,0,0,268,0,0,1,39.4616,39.4616,10.0877,10.0877
1.29167,31,1860,2999.96,28000,28000,0,27725,0,0,275,0,0,1,39.4683,39.4683,9.7902,9.7902
1.33333,32,1920,2999.96,28000,28000,0,27718,0,0,282,0,0,1,39.4728,39.4728,9.50152,9.50152
