total_days,total_hours,total_minutes,tumor_radius,num_cells,num_tumor_cells,tumor_cells_type1,tumor_cells_type2,tumor_cells_type3,tumor_cells_type4,tumor_cells_type5_dead,num_alive_cart,num_dead_cart,average_oncoprotein,average_oxygen_cancer_cells,average_oxygen_all_cells,average_glucose_cancer_cells,average_glucose_all_cells
0,0,0,2999.85,28000,28000,0,27993,0,0,7,0,0,1,0,0,24.98,24.98
0.0416667,1,60,3000.88,28000,28000,0,27951,0,0,49,0,0,1,39.4352,39.4352,23.9634,23.9634
0.0833333,2,120,3000.88,28000,28000,0,27907,0,0,93,0,0,1,39.4706,39.4706,23.0893,23.0893
0.125,3,180,3000.88,28000,28000,0,27866,0,0,134,0,0,1,39.4962,39.4962,22.2921,22.2921
0.166667,4,240,3000.88,28000,28000,0,27832,0,0,168,0,0,1,39.5242,39.5242,21.5497,21.5497
0.208333,5,300,3000.88,28000,28000,0,27799,0,0,201,0,0,1,39.5557,39.5557,20.8491,20.8491
0.25,6,360,3000.88,28000,28000,0,27761,0,0,239,0,0,1,39.5781,39.5781,20.1823,20.1823
0.291667,7,420,3000.88,28000,28000,0,27710,0,0,290,0,0,1,39.6172,39.6172,19.5444,19.5444
0.333333,8,480,3000.88,28000,28000,0,27665,0,0,335,0,0,1,39.6528,39.6528,18.9316,18.9316
0.375,9,540,3000.88,28000,28000,0,27626,0,0,374,0,0,1,39.6839,39.6839,18.3415,18.3415
0.416667,10,600,3000.88,28000,28000,0,27592,0,0,408,0,0,1,39.7075,39.7075,17.7721,17.7721
0.458333,11,660,3000.88,28000,28000,0,27548,0,0,452,0,0,1,39.743,39.743,17.2221,17.2221
0.5,12,720,3000.88,28000,28000,0,27507,0,0,493,0,0,1,39.7741,39.7741,16.6905,16.6905
0.541667,13,780,3000.88,28000,28000,0,27481,0,0,519,0,0,1,39.7969,39.7969,16.1763,16.1763
0.583333,14,840,3000.88,28000,28000,0,27445,0,0,555,0,0,1,39.8254,39.8254,15.6786,15.6786
0.625,15,900,3000.88,28001,28001,0,27409,0,0,592,0,0,1,39.8589,39.8589,15.197,15.197
0.666667,16,960,3000.88,28001,28001,0,27367,0,0,634,0,0,1,39.8927,39.8927,14.731,14.731
0.708333,17,1020,3000.88,28001,28001,0,27336,0,0,665,0,0,1,39.913,39.913,14.2799,14.2799
0.75,18,1080,3000.88,28003,28003,0,27302,0,0,701,0,0,1,39.9428,39.9428,13.8431,13.8431
0.791667,19,1140,3000.88,28004,28004,0,27263,0,0,741,0,0,1,39.981,39.981,13.4204,13.4204
0.833333,20,1200,3000.88,28004,28004,0,27222,0,0,782,0,0,1,40.0151,40.0151,13.0111,13.0111
0.875,21,1260,3000.88,28008,28008,0,27181,0,0,827,0,0,1,40.0509,40.0509,12.6149,12.6149
0.916667,22,1320,3000.88,28011,28011,0,27145,0,0,866,0,0,1,40.0848,40.0848,12.2315,12.2315
0.958333,23,1380,3000.88,28013,28013,0,27110,0,0,903,0,0,1,40.1142,40.1142,11.8602,11.8602
1,24,1440,3000.88,28015,28015,0,27068,0,0,947,0,0,1,40.1498,40.1498,11.5006,11.5006
1.04167,25,1500,3000.88,28019,28019,0,27030,0,0,989,0,0,1,40.184,40.184,11.1524,11.1524
1.08333,26,1560,3000.88,28023,28023,0,26995,0,0,1028,0,0,1,40.2213,40.2213,10.8153,10.8153
1.125,27,1620,3000.88,28030,28030,0,26966,0,0,1064,0,0,1,40.2506,40.2506,10.4888,10.4888
1.16667,28,1680,3000.88,28038,28038,0,26949,0,0,1089,0,0,1,40.2684,40.2684,10.1724,10.1724
1.20833,29,1740,3000.88,28047,28047,0,26917,0,0,1130,0,0,1,40.3066,40.3066,9.86583,9.86583
1.25,30,1800,3000.88,28053,28053,0,26881,0,0,1172,0,0,1,40.3346,40.3346,9.56892,9.56892
1.29167,31,1860,3000.88,28072,28072,0,26856,0,0,1216,0,0,1,40.3648,40.3648,9.28142,9.28142
1.33333,32,1920,3000.88,28093,28093,0,26848,0,0,1245,0,0,1,40.3936,40.3936,9.00295,9.00295
1.375,33,1980,3000.88,28111,28111,0,26835,0,0,1276,0,0,1,40.4129,40.4129,8.73297,8.73297
1.41667,34,2040,3000.88,28131,28131,0,26815,0,0,1316,0,0,1,40.4436,40.4436,8.47134,8.47134
1.45833,35,2100,3000.88,28151,28151,0,26794,0,0,1357,0,0,1,40.4716,40.4716,8.21783,8.21783
1.5,36,2160,3000.88,28181,28181,0,26794,0,0,1387,0,0,1,40.4912,40.4912,7.97213,7.97213
1.54167,37,2220,3000.88,28209,28209,0,26775,0,0,1434,0,0,1,40.5086,40.5086,7.73391,7.73391
1.58333,38,2280,3000.88,28250,28250,0,26781,0,0,1469,0,0,1,40.5347,40.5347,7.50314,7.50314
1.625,39,2340,3000.88,28313,28313,0,26795,0,0,1518,0,0,1,40.5715,40.5715,7.27948,7.27948
1.66667,40,2400,3000.88,28372,28372,0,26808,0,0,1564,0,0,1,40.5898,40.5898,7.06261,7.06261
1.70833,41,2460,3000.88,28441,28441,0,26835,0,0,1606,0,0,1,40.6271,40.6271,6.85246,6.85246
1.75,42,2520,3000.88,28533,28533,0,26897,0,0,1636,0,0,1,40.6443,40.6443,6.64855,6.64855
1.79167,43,2580,3000.88,28621,28621,0,26952,0,0,1669,0,0,1,40.658,40.658,6.45066,6.45066
1.83333,44,2640,3000.88,28713,28713,0,27011,0,0,1702,0,0,1,40.6471,40.6471,6.25856,6.25856
1.875,45,2700,3000.88,28820,28820,0,27080,0,0,1740,0,0,1,40.6488,40.6488,6.07212,6.07212
1.91667,46,2760,3000.88,28934,28934,0,27167,0,0,1767,0,0,1,40.6546,40.6546,5.89122,5.89122
1.95833,47,2820,3000.88,29047,29047,0,27244,0,0,1803,0,0,1,40.6562,40.6562,5.7154,5.7154
2,48,2880,3000.88,29201,29201,0,27356,0,0,1845,0,0,1,40.6374,40.6374,5.54466,5.54466
2.04167,49,2940,3000.88,29344,29344,0,27458,0,0,1886,0,0,1,40.6187,40.6187,5.37882,5.37882
2.08333,50,3000,3000.88,29519,29519,0,27591,0,0,1928,0,0,1,40.6218,40.6218,5.2178,5.2178
