step,x,y,z,oxygen_level,glucose_level,multiplier,probability_necrosis,enter_necrosis
600,-121.036,-36.7978,1.10769,5.22227,24.1259,0.617458,0.000114573,0
600,-88.3086,-77.0306,-35.5055,5.22312,24.1277,0.617396,0.000114562,0
600,-90.8392,-30.207,-43.541,5.22312,24.1277,0.617396,0.000114562,0
600,-25.7218,-102.315,-13.0007,5.22312,24.1277,0.617396,0.000114562,0
600,-65.9295,-38.8751,-11.0868,5.22312,24.1277,0.617396,0.000114562,0
600,-96.8559,-62.4807,-5.7026,5.22312,24.1277,0.617396,0.000114562,0
600,-37.5689,-124.394,49.7263,5.22227,24.1259,0.617458,0.000114573,0
600,-111.065,-58.4759,41.1203,5.22227,24.1259,0.617458,0.000114573,0
600,-85.4194,-89.4007,18.72,5.22227,24.1259,0.617458,0.000114573,0
600,-91.4503,-93.3932,43.774,5.22227,24.1259,0.617458,0.000114573,0
600,12.0291,-119.039,9.62262,5.21768,24.1252,0.617794,0.000114635,0
600,89.3381,-117.569,8.75646,5.21768,24.1252,0.617794,0.000114635,0
600,9.08037,-38.4007,-30.3589,5.26236,24.13,0.614521,0.000114028,0
600,22.3059,-38.5649,-40.3265,5.26236,24.13,0.614521,0.000114028,0
600,-9.95036,-100.832,-21.0813,5.22312,24.1277,0.617396,0.000114562,0
600,29.9989,-81.8214,-2.83865,5.26236,24.13,0.614521,0.000114028,0
600,53.3689,-84.3322,13.5902,5.21768,24.1252,0.617794,0.000114635,0
600,89.5981,-78.9929,-17.446,5.26236,24.13,0.614521,0.000114028,0
600,37.4186,-112.137,34.9766,5.21768,24.1252,0.617794,0.000114635,0
600,-139.119,-6.63732,15.5719,5.31864,24.1262,0.610399,0.000113263,0
600,-139.113,31.7402,-5.79218,5.32753,24.1268,0.609747,0.000113142,0
600,-71.4549,55.8045,-35.4438,5.25684,24.1292,0.614926,0.000114103,0
600,-66.3992,-25.685,-22.5736,5.22312,24.1277,0.617396,0.000114562,0
600,-80.1923,-6.44179,-22.9965,5.22312,24.1277,0.617396,0.000114562,0
600,-59.4579,-13.207,-10.958,5.22312,24.1277,0.617396,0.000114562,0
600,-30.9434,-11.0339,-3.63889,5.22312,24.1277,0.617396,0.000114562,0
600,-91.0153,32.9839,1.31024,5.18502,24.1236,0.620187,0.000115079,0
600,-51.875,24.4643,-9.22567,5.25684,24.1292,0.614926,0.000114103,0
600,-46.4105,32.3024,3.52247,5.18502,24.1236,0.620187,0.000115079,0
600,-130.746,64.2774,5.09689,5.32656,24.1259,0.609818,0.000113155,0
600,-57.6991,105.364,-48.5081,5.25684,24.1292,0.614926,0.000114103,0
600,-107.398,73.3095,-26.5997,5.25684,24.1292,0.614926,0.000114103,0
600,-128.125,3.24995,37.9741,5.18502,24.1236,0.620187,0.000115079,0
600,-149.317,6.90122,41.1044,5.32656,24.1259,0.609818,0.000113155,0
600,-82.524,-20.6775,46.7078,5.22227,24.1259,0.617458,0.000114573,0
600,-44.6935,18.4681,16.4273,5.18502,24.1236,0.620187,0.000115079,0
600,-60.8414,40.5727,45.1873,5.18502,24.1236,0.620187,0.000115079,0
600,-116.172,93.4707,18.2698,5.18502,24.1236,0.620187,0.000115079,0
600,-53.2476,70.9582,31.5231,5.18502,24.1236,0.620187,0.000115079,0
600,33.1382,-11.7362,-43.9508,5.26236,24.13,0.614521,0.000114028,0
600,50.087,-15.8146,11.2742,5.21768,24.1252,0.617794,0.000114635,0
600,82.0016,-6.95932,-41.0021,5.26236,24.13,0.614521,0.000114028,0
600,89.4249,3.32231,-43.9913,5.2116,24.1275,0.61824,0.000114718,0
600,120.657,31.6992,-42.914,5.2116,24.1275,0.61824,0.000114718,0
600,128.113,0.0317006,16.6201,5.14533,24.1208,0.623094,0.000115619,0
600,117.185,5.15474,11.4483,5.14533,24.1208,0.623094,0.000115619,0
600,99.8019,43.472,-16.4377,5.2116,24.1275,0.61824,0.000114718,0
600,99.2219,31.4354,-1.26401,5.2116,24.1275,0.61824,0.000114718,0
600,85.4225,42.5821,6.61558,5.14533,24.1208,0.623094,0.000115619,0
600,97.862,40.9525,11.2612,5.14533,24.1208,0.623094,0.000115619,0
600,113.438,48.9913,9.55568,5.14533,24.1208,0.623094,0.000115619,0
600,21.3479,106.965,-47.3004,5.2116,24.1275,0.61824,0.000114718,0
600,51.84,82.6387,-16.022,5.2116,24.1275,0.61824,0.000114718,0
600,122.22,83.1794,-39.4914,5.2116,24.1275,0.61824,0.000114718,0
600,107.239,99.1202,-18.1588,5.2116,24.1275,0.61824,0.000114718,0
600,111.177,81.2558,-12.9535,5.2116,24.1275,0.61824,0.000114718,0
600,75.8255,120.838,-4.6006,5.2116,24.1275,0.61824,0.000114718,0
600,18.7011,-5.25789,39.4802,5.21768,24.1252,0.617794,0.000114635,0
600,25.9222,116.709,25.9288,5.14533,24.1208,0.623094,0.000115619,0
600,39.0303,120.715,28.9143,5.14533,24.1208,0.623094,0.000115619,0
600,87.2555,79.1057,32.8955,5.14533,24.1208,0.623094,0.000115619,0
600,72.7347,94.3806,26.3026,5.14533,24.1208,0.623094,0.000115619,0
